2019-06-10 13:13:28.582935: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2300000000 Hz
2019-06-10 13:13:28.583182: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2a04680 executing computations on platform Host. Devices:
2019-06-10 13:13:28.583216: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-06-10 13:13:28.752302: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:998] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-06-10 13:13:28.752786: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2a03fa0 executing computations on platform CUDA. Devices:
2019-06-10 13:13:28.752816: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): Tesla T4, Compute Capability 7.5
2019-06-10 13:13:28.753137: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1433] Found device 0 with properties: 
name: Tesla T4 major: 7 minor: 5 memoryClockRate(GHz): 1.59
pciBusID: 0000:00:04.0
totalMemory: 14.73GiB freeMemory: 14.60GiB
2019-06-10 13:13:28.753175: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1512] Adding visible gpu devices: 0
2019-06-10 13:13:29.193916: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-06-10 13:13:29.193982: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990]      0 
2019-06-10 13:13:29.193995: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1003] 0:   N 
2019-06-10 13:13:29.194273: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 14115 MB memory) -> physical GPU (device: 0, name: Tesla T4, pci bus id: 0000:00:04.0, compute capability: 7.5)
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /content/gpt-2/src/sample.py:65: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /content/gpt-2/src/sample.py:70: multinomial (from tensorflow.python.ops.random_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.random.categorical instead.
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/ops/math_grad.py:102: div (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Deprecated in favor of operator or tf.math.divide.
Loading checkpoint models/345M/model.ckpt
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/training/saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
Loading dataset...
100% 1/1 [00:12<00:00, 12.30s/it]
dataset has 2451515 tokens
Training...
2019-06-10 13:14:26.402194: I tensorflow/stream_executor/dso_loader.cc:152] successfully opened CUDA library libcublas.so.10.0 locally
[1 | 8.74] loss=3.12 avg=3.12
[77 | 132.44] loss=2.47 avg=2.58
[78 | 134.08] loss=2.51 avg=2.58
[79 | 135.72] loss=2.71 avg=2.58
[80 | 137.35] loss=2.53 avg=2.58
[81 | 138.99] loss=2.38 avg=2.57
[82 | 140.64] loss=2.51 avg=2.57
[83 | 142.28] loss=2.62 avg=2.57
[84 | 143.93] loss=2.58 avg=2.57
[85 | 145.58] loss=2.61 avg=2.57
[86 | 147.23] loss=2.55 avg=2.57
[87 | 148.88] loss=2.51 avg=2.57
[88 | 150.54] loss=2.51 avg=2.57
[89 | 152.19] loss=2.42 avg=2.57
[90 | 153.84] loss=2.52 avg=2.57
[91 | 155.49] loss=2.59 avg=2.57
[92 | 157.14] loss=2.60 avg=2.57
[93 | 158.79] loss=2.58 avg=2.57
[94 | 160.44] loss=2.53 avg=2.57
[95 | 162.09] loss=2.51 avg=2.57
[96 | 163.75] loss=2.63 avg=2.57
[97 | 165.40] loss=2.48 avg=2.57
[98 | 167.05] loss=2.41 avg=2.57
[99 | 168.69] loss=2.49 avg=2.56
Generating samples...
======== SAMPLE 1 ========


The idea that a small business owner could be the only person in the market willing to serve you is not good for businesses

I love that I would like to be in a room with somebody that I'd love to eat dinner with

I really love that I have my dog

All my life i've wanted a dog

I never know how i was going to act

You never say anything but keep on rolling

I've got a big baby so that's not bad

It's one thing to go and visit friends or friends of friends

Doing things at the last minute feels like there's

no point in waiting

That's why i'm a mother

I need to get my head

In my life

For the better

It feels too tight

When I feel like
 I'm not able to do

This shit

All I'm doing is praying

My life just has to be perfect

That's my story

That's my experience

And now they say

All you need to do
 is go

I'm just

Gotta go

To bed

It's not just a

sad story

But this is

a sad

story

It's a sad

song

I just
 need some food and
 go sit by my
 book

My story has just
 come true
Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Thank you

Dear God God God!

So I'm in the back seat and it's raining so bad
I just wanna say

Thank you so much

I love you

I want to keep
 Your name

To always remember

The love that you're
 Giving
 is the
 real thing

I'm in love
 I just want to sleep
 and then I gotta
 write this
 letter
 I want to keep
 this memory
 Alive
 So many years

Left in me

I just want to die

I've got my
 to take care of
 Me
 I've lost my
 voice
 Now it's just
 my hands

I've got them

My eyes

Are just filled with
 tears I just
 gotta
 see that light

Come on look on me
 look on me
 come on

You're beautiful

Losing my mind

I just wanted to make
 sure of that
This whole time

I did feel like
 I was making
 a mistake
The whole time

So thank you so much

I really don't
 know

How you can
 help
 me with that
When it's out

and we can see

all the people
 That's all

that's left

Out of the game
 out of the game
 out of the game
 out of the game
 out of the game

All
 that's left to do
 is

be right back to do
 the same
 same
 I need
 you and I hate

what she is

So I feel as much
 like the whole
 country is
 all over me
 I wanna fight
 but i don't want
 people to know that
The thing I can't
 be afraid of
is myself

and my own
 I just want people to
 love me for who I am
and not tell the worst
 of me
What a strong and proud
 woman
She's been in my heart
For the past four
years
She's had nothing
 to do with it
It's just too
 painful
to write this
 I

[100 | 194.61] loss=2.46 avg=2.56
[101 | 196.25] loss=2.59 avg=2.56
[102 | 197.89] loss=2.39 avg=2.56
[103 | 199.52] loss=2.53 avg=2.56
[104 | 201.16] loss=2.52 avg=2.56
[105 | 202.79] loss=2.46 avg=2.56
[106 | 204.42] loss=2.45 avg=2.56
[107 | 206.05] loss=2.66 avg=2.56
[108 | 207.69] loss=2.54 avg=2.56
[109 | 209.32] loss=2.41 avg=2.55
[110 | 210.95] loss=2.39 avg=2.55
[111 | 212.58] loss=2.50 avg=2.55
[112 | 214.21] loss=2.39 avg=2.55
[113 | 215.84] loss=2.49 avg=2.55
[114 | 217.47] loss=2.80 avg=2.55
[115 | 219.09] loss=2.46 avg=2.55
[116 | 220.71] loss=2.45 avg=2.55
[117 | 222.33] loss=2.45 avg=2.55
[118 | 223.97] loss=2.53 avg=2.55
[119 | 225.59] loss=2.39 avg=2.55
[120 | 227.22] loss=2.54 avg=2.54
[121 | 228.85] loss=2.49 avg=2.54
[122 | 230.48] loss=2.49 avg=2.54
[123 | 232.12] loss=2.52 avg=2.54
[124 | 233.75] loss=2.50 avg=2.54
[125 | 235.38] loss=2.44 avg=2.54
[126 | 237.01] loss=2.49 avg=2.54
[127 | 238.64] loss=2.50 avg=2.54
[128 | 240.27] loss=2.45 avg=2.54
[129 | 241.91] loss=2.49 avg=2.54
[130 | 243.54] loss=2.53 avg=2.54
[131 | 245.17] loss=2.46 avg=2.54
[132 | 246.80] loss=2.51 avg=2.54
[133 | 248.43] loss=2.50 avg=2.54
[134 | 250.07] loss=2.46 avg=2.53
[135 | 251.70] loss=2.45 avg=2.53
[136 | 253.33] loss=2.52 avg=2.53
[137 | 254.97] loss=2.38 avg=2.53
[138 | 256.60] loss=2.51 avg=2.53
[139 | 258.24] loss=2.56 avg=2.53
[140 | 259.87] loss=2.54 avg=2.53
[141 | 261.51] loss=2.35 avg=2.53
[142 | 263.14] loss=2.40 avg=2.53
[143 | 264.78] loss=2.43 avg=2.53
[144 | 266.41] loss=2.40 avg=2.52
[145 | 268.05] loss=2.48 avg=2.52
[146 | 269.68] loss=2.29 avg=2.52
[147 | 271.32] loss=2.44 avg=2.52
[148 | 272.95] loss=2.51 avg=2.52
[149 | 274.59] loss=2.34 avg=2.52
[150 | 276.23] loss=2.24 avg=2.51
[151 | 277.87] loss=2.53 avg=2.51
[152 | 279.51] loss=2.38 avg=2.51
[153 | 281.14] loss=2.31 avg=2.51
[154 | 282.78] loss=2.38 avg=2.51
[155 | 284.42] loss=2.46 avg=2.51
[156 | 286.06] loss=2.56 avg=2.51
[157 | 287.69] loss=2.45 avg=2.51
[158 | 289.33] loss=2.37 avg=2.51
[159 | 290.97] loss=2.47 avg=2.51
[160 | 292.61] loss=2.31 avg=2.50
[161 | 294.25] loss=2.20 avg=2.50
[162 | 295.89] loss=2.30 avg=2.50
[163 | 297.53] loss=2.45 avg=2.50
[164 | 299.17] loss=2.42 avg=2.50
[165 | 300.81] loss=2.41 avg=2.49
[166 | 302.46] loss=2.44 avg=2.49
[167 | 304.10] loss=2.41 avg=2.49
[168 | 305.75] loss=2.38 avg=2.49
[169 | 307.39] loss=2.42 avg=2.49
[170 | 309.04] loss=2.32 avg=2.49
[171 | 310.68] loss=2.49 avg=2.49
[172 | 312.33] loss=2.50 avg=2.49
[173 | 313.98] loss=2.36 avg=2.49
[174 | 315.62] loss=2.36 avg=2.49
[175 | 317.27] loss=2.45 avg=2.48
[176 | 318.91] loss=2.54 avg=2.49
[177 | 320.56] loss=2.42 avg=2.48
[178 | 322.20] loss=2.43 avg=2.48
[179 | 323.84] loss=2.47 avg=2.48
[180 | 325.49] loss=2.53 avg=2.48
[181 | 327.14] loss=2.48 avg=2.48
[182 | 328.78] loss=2.51 avg=2.48
[183 | 330.43] loss=2.50 avg=2.48
[184 | 332.08] loss=2.42 avg=2.48
[185 | 333.72] loss=2.54 avg=2.48
[186 | 335.37] loss=2.47 avg=2.48
[187 | 337.02] loss=2.48 avg=2.48
[188 | 338.67] loss=2.23 avg=2.48
[189 | 340.31] loss=2.45 avg=2.48
[190 | 341.95] loss=2.54 avg=2.48
[191 | 343.60] loss=2.38 avg=2.48
[192 | 345.24] loss=2.31 avg=2.48
[193 | 346.89] loss=2.40 avg=2.48
[194 | 348.53] loss=2.41 avg=2.48
[195 | 350.17] loss=2.36 avg=2.48
[196 | 351.81] loss=2.38 avg=2.47
[197 | 353.45] loss=2.43 avg=2.47
[198 | 355.10] loss=2.42 avg=2.47
[199 | 356.74] loss=2.30 avg=2.47
Generating samples...
======== SAMPLE 1 ========
 be sure your body takes some of the blame for it.

The most important thing in life is not how big you are now, if you can't take one step forward then you are not doing it for the right reasons.

I truly think that in a future where a man is a good parent he'll grow up to be a better man because he understands that a good parent can make a good dad.

If there are women in the universe I'm a woman in the universe.

I do not have an ego you have an ego too which you will never be.

I've been called a fool but in the beginning I said it with a tone of voice
that was too confident
<|endoftext|>

It's okay you can only control you
your mistakes and make good plans but
you can't be perfect
<|endoftext|>

I hate going to the
 gym but when I'm there it's like I'm
living my life instead
<|endoftext|>

We get so busy with
that life and we forget the
good memories of the past
<|endoftext|>

You can get any job
 and you can get a girl to give
you a blowjob when you
<|endoftext|>

If you're looking to please
 and you've ever been called
a pussy on your first night
<|endoftext|>

This is so beautiful
 and so crazy and it's so
beautiful on some nights
<|endoftext|>

The best things about
 getting off life support is
your body can go ahead
<|endoftext|>

We're going to miss you
 but just remember that you're better
than this
<|endoftext|>

So I got a question
 it is a very simple
one i hope you have something
to say in response
<|endoftext|>

It is not
 a matter of if but when
we see this thing come
back and it will be beautiful
<|endoftext|>

As a human being
 when I make mistakes it makes me
fear for the rest of my
life forever
<|endoftext|>

I have never ever
 taken a drink while on holidays
in my life i've done
<|endoftext|>

The world needs more
 of these amazing animals
we're still not a
<|endoftext|>

I never said there had
 to be a second date before
because I didn't
<|endoftext|>

I hope you are having
 an amazing weekend and
you all have a great week
<|endoftext|>

I don't even want
 to talk to my mom anymore
because she knows I'm
<|endoftext|>

Hearing you are in
 my head always makes me feel
like one with you as well
<|endoftext|>

I just wanna go
 and watch Netflix tonight
I just know i will go
<|endoftext|>

I've never seen the
 stars yet, but it seems like
we are seeing them
<|endoftext|>

It's a blessing to
 be the leader of your own
little town You are a leader
<|endoftext|>

I have a question
 and if you can give it to me
it's just a fact I
<|endoftext|>

I'm going to go
 and buy a new phone again
to replace this busted
<|endoftext|>

I was at a game
 on Saturday that was really
loud there's no way I'm not
<|endoftext|>

I still feel the pain
 from last week when I wasn't
tied in at the door
<|endoftext|>

When I was little I
 thought about myself in my
father's eyes like I'm the
<|endoftext|>

I'm not your real dad
 and I don't want anything from you
you're not my boy
<|endoftext|>

It wasn't that long ago
 that I'd gone to my first
finally date with
<|endoftext|>

I'm going to take a
 rest from this Monday night
for the rest of the week
<|endoftext|>

I miss my friends I miss her
 and I miss her more than anything
so thanks for your concern
<|endoftext|>

The best way to show that
 someone loves you is to let
them know with a smile
<

[200 | 380.11] loss=2.34 avg=2.47
[201 | 381.75] loss=2.42 avg=2.47
[202 | 383.38] loss=2.42 avg=2.47
[203 | 385.01] loss=2.49 avg=2.47
[204 | 386.64] loss=2.48 avg=2.47
[205 | 388.27] loss=2.32 avg=2.47
[206 | 389.89] loss=2.52 avg=2.47
[207 | 391.52] loss=2.52 avg=2.47
[208 | 393.15] loss=2.47 avg=2.47
[209 | 394.78] loss=2.48 avg=2.47
[210 | 396.41] loss=2.31 avg=2.47
[211 | 398.04] loss=2.56 avg=2.47
[212 | 399.66] loss=2.26 avg=2.47
[213 | 401.29] loss=2.49 avg=2.47
[214 | 402.92] loss=2.33 avg=2.46
[215 | 404.55] loss=2.46 avg=2.46
[216 | 406.18] loss=2.46 avg=2.46
[217 | 407.81] loss=2.29 avg=2.46
[218 | 409.44] loss=2.59 avg=2.46
[219 | 411.07] loss=2.46 avg=2.46
[220 | 412.70] loss=2.51 avg=2.46
[221 | 414.33] loss=2.42 avg=2.46
[222 | 415.97] loss=2.33 avg=2.46
[223 | 417.60] loss=2.37 avg=2.46
[224 | 419.24] loss=2.47 avg=2.46
[225 | 420.87] loss=2.27 avg=2.46
[226 | 422.51] loss=2.32 avg=2.46
[227 | 424.14] loss=2.32 avg=2.46
[228 | 425.78] loss=2.38 avg=2.46
[229 | 427.43] loss=2.42 avg=2.45
[230 | 429.07] loss=2.44 avg=2.45
[231 | 430.71] loss=2.42 avg=2.45
[232 | 432.35] loss=2.47 avg=2.45
[233 | 433.99] loss=2.43 avg=2.45
[234 | 435.63] loss=2.46 avg=2.45
[235 | 437.28] loss=2.27 avg=2.45
[236 | 438.91] loss=2.33 avg=2.45
[237 | 440.56] loss=3.01 avg=2.46
[238 | 442.20] loss=2.45 avg=2.46
[239 | 443.84] loss=2.52 avg=2.46
[240 | 445.49] loss=2.39 avg=2.46
[241 | 447.14] loss=2.45 avg=2.46
[242 | 448.78] loss=2.43 avg=2.46
[243 | 450.43] loss=2.27 avg=2.45
[244 | 452.08] loss=2.23 avg=2.45
[245 | 453.72] loss=2.52 avg=2.45
[246 | 455.37] loss=2.43 avg=2.45
[247 | 457.02] loss=2.41 avg=2.45
[248 | 458.66] loss=2.26 avg=2.45
[249 | 460.31] loss=2.54 avg=2.45
[250 | 461.96] loss=2.46 avg=2.45
[251 | 463.60] loss=2.39 avg=2.45
[252 | 465.26] loss=2.52 avg=2.45
[253 | 466.91] loss=2.45 avg=2.45
[254 | 468.54] loss=2.29 avg=2.45
[255 | 470.19] loss=2.47 avg=2.45
[256 | 471.83] loss=2.48 avg=2.45
[257 | 473.47] loss=2.50 avg=2.45
[258 | 475.11] loss=2.40 avg=2.45
[259 | 476.76] loss=2.58 avg=2.45
[260 | 478.40] loss=2.49 avg=2.45
[261 | 480.04] loss=2.46 avg=2.45
[262 | 481.68] loss=2.44 avg=2.45
[263 | 483.32] loss=2.50 avg=2.45
[264 | 484.97] loss=2.43 avg=2.45
[265 | 486.61] loss=2.26 avg=2.45
[266 | 488.25] loss=2.34 avg=2.45
[267 | 489.89] loss=2.37 avg=2.45
[268 | 491.54] loss=2.37 avg=2.45
[269 | 493.18] loss=2.34 avg=2.45
[270 | 494.82] loss=2.38 avg=2.45
[271 | 496.47] loss=2.49 avg=2.45
[272 | 498.12] loss=2.44 avg=2.45
[273 | 499.76] loss=2.30 avg=2.44
[274 | 501.40] loss=2.53 avg=2.45
[275 | 503.03] loss=2.37 avg=2.44
[276 | 504.67] loss=2.38 avg=2.44
[277 | 506.31] loss=2.46 avg=2.44
[278 | 507.95] loss=2.40 avg=2.44
[279 | 509.59] loss=2.37 avg=2.44
[280 | 511.22] loss=2.42 avg=2.44
[281 | 512.86] loss=2.54 avg=2.44
[282 | 514.50] loss=2.49 avg=2.44
[283 | 516.14] loss=2.28 avg=2.44
[284 | 517.78] loss=2.50 avg=2.44
[285 | 519.42] loss=2.38 avg=2.44
[286 | 521.06] loss=2.32 avg=2.44
[287 | 522.70] loss=2.36 avg=2.44
[288 | 524.34] loss=2.42 avg=2.44
[289 | 525.98] loss=2.50 avg=2.44
[290 | 527.62] loss=2.38 avg=2.44
[291 | 529.26] loss=2.23 avg=2.44
[292 | 530.89] loss=2.24 avg=2.44
[293 | 532.53] loss=2.32 avg=2.43
[294 | 534.17] loss=2.45 avg=2.43
[295 | 535.81] loss=2.31 avg=2.43
[296 | 537.45] loss=2.38 avg=2.43
[297 | 539.09] loss=2.46 avg=2.43
[298 | 540.74] loss=2.51 avg=2.43
[299 | 542.38] loss=2.36 avg=2.43
Generating samples...
======== SAMPLE 1 ========
 i < n > > n < w h a t t i o n
<|endoftext|>

Is this how you get
 a job I'm not gonna lie
you're a fucking idiot
<|endoftext|>

So is this the new
 norm or maybe you're just the
one in the mood for the
<|endoftext|>

if you wanna be
 rich you should have more money
instead of being
<|endoftext|>

I just remember
 the last time i was in my house
at night and i was
<|endoftext|>

i feel like a
 baby that was kicked in the fuckin
face at a christmas party
<|endoftext|>

I know your boyfriend
 is your brother, but he's so
busy right now it's hard
<|endoftext|>

Just wanted to
 say that I have a dream
is a new year you know
<|endoftext|>

No one who is still
 in high school is even
trying to graduate
<|endoftext|>

i just wanna get
 a picture of you in
your bra i'm a fucking
<|endoftext|>

I'm a fucking
 stupid bitch because i got
a bad attitude
<|endoftext|>

A lot of people
 don't think their boyfriends are
that much better than they
<|endoftext|>

It is impossible
 for you to think clearly if you
are a troll shit
<|endoftext|>

I wish they would have
 done the same job for them last
years the only thing
<|endoftext|>

I wish i had
 an accent like they used
to do in japan
<|endoftext|>

I need to get
 a tattoo for how great I look
and my husband looks so
<|endoftext|>

I should be able get
 a job just so I can eat
the meal I want now
<|endoftext|>

The only person
 I miss is my husband so much
I've missed being with
<|endoftext|>

I'm so over
 watching The Warriors so I don't
do anything else
<|endoftext|>

So if Trump won
 he will be President of the
United States
<|endoftext|>

What are we gonna
 do with a man who won't
give a fuck about
<|endoftext|>

How do I keep
 myself comfortable without
my pants on at night
<|endoftext|>

That's really all it
 is really all about I want
a family with one
<|endoftext|>

I wonder why I
 can't sleep I really hate
being with these people
<|endoftext|>

What happened to
 her and me? That's the real question
now is she going
<|endoftext|>

I'm ready to
 leave this earth I'm ready
to leave before it's even
<|endoftext|>

You have only days
 to go before I'll be gone by
now you know what
<|endoftext|>

I'm so happy
 to be alive but so sad
that I can't even go
<|endoftext|>

I think your job
 for getting this girl I'll see
next week I'll see her
<|endoftext|>

I miss my dog
 a lot but not in the stupid
way you mean I do
<|endoftext|>

My husband is gonna
